DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1950-12-31,81644,,
1951-12-31,82895,1.53,
1952-12-31,84589,2.04,
1953-12-31,86739,2.54,
1954-12-31,89352,3.01,
1955-12-31,92444,3.46,
1956-12-31,96004,3.85,
1957-12-31,100005,4.17,
1958-12-31,104409,4.4,
1959-12-31,109233,4.62,
1960-12-31,114500,4.82,
1961-12-31,120216,4.99,
1962-12-31,126305,5.07,
1963-12-31,132639,5.01,
1964-12-31,138785,4.63,
1965-12-31,144849,4.37,
1966-12-31,151323,4.47,
1967-12-31,158197,4.54,
1968-12-31,165456,4.59,
1969-12-31,172745,4.41,
1970-12-31,179129,3.7,
1971-12-31,184435,2.96,
1972-12-31,189181,2.57,
1973-12-31,193563,2.32,
1974-12-31,197767,2.17,
1975-12-31,201881,2.08,
1976-12-31,206096,2.09,
1977-12-31,210534,2.15,
1978-12-31,215016,2.13,
1979-12-31,219426,2.05,
1980-12-31,223752,1.97,
1981-12-31,227956,1.88,
1982-12-31,232177,1.85,
1983-12-31,236586,1.9,
1984-12-31,241166,1.94,
1985-12-31,245935,1.98,
1986-12-31,250804,1.98,
1987-12-31,255618,1.92,
1988-12-31,260452,1.89,
1989-12-31,265493,1.94,
1990-12-31,270679,1.95,
1991-12-31,276058,1.99,
1992-12-31,281973,2.14,
1993-12-31,288164,2.2,
1994-12-31,293997,2.02,
1995-12-31,299554,1.89,
1996-12-31,304933,1.8,
1997-12-31,310171,1.72,
1998-12-31,315398,1.69,
1999-12-31,320272,1.55,
2000-12-31,325014,1.48,
2001-12-31,329626,1.42,
2002-12-31,334002,1.33,
2003-12-31,338490,1.34,
2004-12-31,343089,1.36,
2005-12-31,347804,1.37,
2006-12-31,352664,1.4,
2007-12-31,357666,1.42,
2008-12-31,362795,1.43,
2009-12-31,368057,1.45,
2010-12-31,373272,1.42,
2011-12-31,377950,1.25,
2012-12-31,382061,1.09,
2013-12-31,385650,0.94,
2014-12-31,389131,0.9,
2015-12-31,392697,0.92,
2016-12-31,395976,0.83,
2017-12-31,399020,0.77,
2018-12-31,401906,0.72,
2019-12-31,404557,0.66,
2020-12-31,406471,0.47,
2021-12-31,407906,0.35,
2022-12-31,409984,0.51,
2023-12-31,412623,0.64,
2024-12-31,415223,0.63,
2025-12-31,417790,0.62,
2026-12-31,420306,0.6,
2027-12-31,422785,0.59,
2028-12-31,425211,0.57,
2029-12-31,427562,0.55,
2030-12-31,429846,0.53,
2031-12-31,432055,0.51,
2032-12-31,434166,0.49,
2033-12-31,436175,0.46,
2034-12-31,438082,0.44,
2035-12-31,439873,0.41,
2036-12-31,441526,0.38,
2037-12-31,443039,0.34,
2038-12-31,444418,0.31,
2039-12-31,445659,0.28,
2040-12-31,446760,0.25,
2041-12-31,447724,0.22,
2042-12-31,448557,0.19,
2043-12-31,449247,0.15,
2044-12-31,449788,0.12,
2045-12-31,450211,0.09,
2046-12-31,450527,0.07,
2047-12-31,450708,0.04,
2048-12-31,450774,0.01,
2049-12-31,450743,-0.01,
2050-12-31,450625,-0.03,
2051-12-31,450426,-0.04,
2052-12-31,450155,-0.06,
2053-12-31,449812,-0.08,
2054-12-31,449398,-0.09,
2055-12-31,448936,-0.1,
2056-12-31,448439,-0.11,
2057-12-31,447901,-0.12,
2058-12-31,447328,-0.13,
2059-12-31,446728,-0.13,
2060-12-31,446111,-0.14,
2061-12-31,445478,-0.14,
2062-12-31,444820,-0.15,
2063-12-31,444146,-0.15,
2064-12-31,443447,-0.16,
2065-12-31,442717,-0.16,
2066-12-31,441960,-0.17,
2067-12-31,441183,-0.18,
2068-12-31,440380,-0.18,
2069-12-31,439555,-0.19,
2070-12-31,438705,-0.19,
2071-12-31,437820,-0.2,
2072-12-31,436899,-0.21,
2073-12-31,435937,-0.22,
2074-12-31,434932,-0.23,
2075-12-31,433883,-0.24,
2076-12-31,432790,-0.25,
2077-12-31,431659,-0.26,
2078-12-31,430505,-0.27,
2079-12-31,429315,-0.28,
2080-12-31,428082,-0.29,
2081-12-31,426822,-0.29,
2082-12-31,425536,-0.3,
2083-12-31,424225,-0.31,
2084-12-31,422893,-0.31,
2085-12-31,421554,-0.32,
2086-12-31,420200,-0.32,
2087-12-31,418839,-0.32,
2088-12-31,417492,-0.32,
2089-12-31,416150,-0.32,
2090-12-31,414804,-0.32,
2091-12-31,413457,-0.32,
2092-12-31,412130,-0.32,
2093-12-31,410831,-0.32,
2094-12-31,409569,-0.31,
2095-12-31,408342,-0.3,
2096-12-31,407153,-0.29,
2097-12-31,406007,-0.28,
2098-12-31,404896,-0.27,
2099-12-31,403834,-0.26,
2100-12-31,402810,-0.25,
