DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1990-12-31,16.6249,,
1991-12-31,10.1428,-38.99,
1992-12-31,14.5404,43.36,
1993-12-31,12.1458,-16.47,
1994-12-31,17.6873,45.62,
1995-12-31,13.3532,-24.5,
1996-12-31,16.725,25.25,
1997-12-31,14.8306,-11.33,
2000-12-31,22.7682,53.52,
2001-12-31,13.0451,-42.7,
2002-12-31,15.5688,19.35,
2003-12-31,14.7715,-5.12,
2004-12-31,12.8246,-13.18,
2005-12-31,14.9509,16.58,
2006-12-31,17.2969,15.69,
2007-12-31,21.808,26.08,
2008-12-31,20.1216,-7.73,
2009-12-31,23.6377,17.47,
2010-12-31,25.1827,6.54,
2011-12-31,33.6023,33.43,
2012-12-31,28.7912,-14.32,
2013-12-31,30.857,7.18,
2014-12-31,31.3519,1.6,
2015-12-31,37.1787,18.59,
2016-12-31,28.032,-24.6,
2017-12-31,30.5749,9.07,
2018-12-31,22.6421,-25.95,
2019-12-31,23.4825,3.71,
2020-12-31,17.9594,-23.52,
2021-12-31,29.1734,62.44,
